id	title	description	link	image_link	availability	price	brand	condition	google_product_category	product_type	identifier_exists
4051	Apc Back-Ups 650VA	The APC Back-UPS 650VA is an efficient and affordable solution for protecting your essential electronics from power disruptions. With a 650VA power capacity, this uninterruptible…	https://trinatechtonersandprinters.co.ke/product?id=4051	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/APC-UPS-650VA.png	in stock	12000 KES	APC	new		Computers & Computer Accessories > External Hard Disks	no
3473	Asus X515 Celeron 4GB/256SSD/15.6 Laptop	The ASUS X515 Celeron 4GB/256SSD/15.6 Laptop is designed to deliver dependable performance for everyday tasks, making it the perfect choice for students, home users, and light…	https://trinatechtonersandprinters.co.ke/product?id=3473	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/ASUS-Laptop-X515.png	in stock	39000 KES	Asus	new		Laptops	no
3475	Asus X543U Core I5 8GB1TB15.6WIN 10 Laptop	The ASUS X543U Core i5 8GB/1TB/15.6"/Win 10 Laptop combines performance, storage, and a large display into one affordable and powerful device. Equipped with an Intel Core i5…	https://trinatechtonersandprinters.co.ke/product?id=3475	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/Asus-X543U-Laptop.png	in stock	63000 KES	Asus	new		Laptops	no
5559	Brother BT-D60 BK Black High Yield Ink Bottle	BROTHER BT-D60 BK BLACK HIGH YIELD INK BOTTLE	https://trinatechtonersandprinters.co.ke/product?id=5559	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-BT-D60-BK-Black-High-Yield-Ink-Bottle.webp	in stock	1700 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
5561	Brother BT5000C BT5000Y BT5000M Inks Each	Brother BT5000C BT5000Y BT5000M INKS EACH	https://trinatechtonersandprinters.co.ke/product?id=5561	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/BROTHER-Bt5000C-Bt5000Y-Bt5000M-Inks-Each.webp	in stock	1700 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
5560	Brother BT6000BK Ink Bottle Black	BROTHER BT6000BK INK BOTTLE BLACK	https://trinatechtonersandprinters.co.ke/product?id=5560	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-BT6000BK-Ink-Bottle-Black.webp	in stock	1700 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
5558	Brother DR-2305 Drum Unit	BROTHER DR-2305 DRUM UNIT	https://trinatechtonersandprinters.co.ke/product?id=5558	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-DR-2305-Drum-Unit.webp	in stock	3500 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
5357	Brother LC3717 Black Ink Cartridges	BROTHER LC3717 BLACK INK CARTRIDGES	https://trinatechtonersandprinters.co.ke/product?id=5357	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3717-Black-Ink-Cartridges.webp	in stock	3000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Inks Cartridges	no
5356	Brother LC3717C Cyan Ink Cartridges	BROTHER LC3717C CYAN INK CARTRIDGES	https://trinatechtonersandprinters.co.ke/product?id=5356	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3717C-Cyan-Ink-Cartridges.webp	in stock	3000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Inks Cartridges	no
5355	Brother LC3717M Magneta Ink Cartridges	BROTHER LC3717M MAGNETA INK CARTRIDGES	https://trinatechtonersandprinters.co.ke/product?id=5355	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3717M-Magneta-Ink-Cartridges.webp	in stock	3000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Inks Cartridges	no
5354	Brother LC3717Y Yellow Ink Cartridges	BROTHER LC3717Y YELLOW INK CARTRIDGES	https://trinatechtonersandprinters.co.ke/product?id=5354	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3717Y-Yellow-Ink-Cartridges.webp	in stock	3000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Inks Cartridges	no
5353	Brother LC3719XL Black Ink Cartridges	BROTHER LC3719XL BLACK INK CARTRIDGES	https://trinatechtonersandprinters.co.ke/product?id=5353	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3719XL-Black-Ink-Cartridges.webp	in stock	3000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Inks Cartridges	no
5352	Brother LC3719XL Cyan Ink Cartridges	BROTHER LC3719XL CYAN INK CARTRIDGES	https://trinatechtonersandprinters.co.ke/product?id=5352	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3719XL-Cyan-Ink-Cartridges.webp	in stock	3000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Inks Cartridges	no
5351	Brother LC3719XL Magenta Ink Cartridges	BROTHER LC3719XL MAGENTA INK CARTRIDGES	https://trinatechtonersandprinters.co.ke/product?id=5351	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3719XL-Magenta-Ink-Cartridges.webp	in stock	3000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Inks Cartridges	no
5350	Brother LC3719XL Yellow Ink Cartridges	BROTHER LC3719XL YELLOW INK CARTRIDGES	https://trinatechtonersandprinters.co.ke/product?id=5350	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3719XL-Yellow-Ink-Cartridges.webp	in stock	3000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Inks Cartridges	no
4967	Brother TN-1000 Black Toner Cartridge	BROTHER TN-1000 BLACK TONER CARTRIDGE	https://trinatechtonersandprinters.co.ke/product?id=4967	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-1000-Black-Toner-Cartridge.webp	in stock	2500 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
5557	Brother TN-2130 Black Toner Cartridge	BROTHER TN-2130 BLACK TONER CARTRIDGE	https://trinatechtonersandprinters.co.ke/product?id=5557	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-2130-Black-Toner-Cartridge.webp	in stock	3500 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
4968	Brother TN-2280 Black Toner Cartridge	BROTHER TN-2280 BLACK TONER CARTRIDGE	https://trinatechtonersandprinters.co.ke/product?id=4968	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-2280-Black-Toner-Cartridge.webp	in stock	3500 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
4969	Brother TN-2305 Black Toner Cartridge	BROTHER TN-2305 BLACK TONER CARTRIDGE	https://trinatechtonersandprinters.co.ke/product?id=4969	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-2305-Black-Toner-Cartridge.webp	in stock	3500 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
4395	Brother TN-2350 Black Toner Cartridge	Compatible with: Brother HL-L2300D HL-L2305W HL-L2340DW HL-L2365DW HL-L2380DW MFC-L2700DW MFC-L2703DW MFC-L2720DW MFC-L2740DW	https://trinatechtonersandprinters.co.ke/product?id=4395	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Brother-TN-2350-Toner.png	in stock	11000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Inks & Toner Cartridges	no
5556	Brother TN-2355 Black Toner Cartridge	BROTHER TN-2355 BLACK TONER CARTRIDGE	https://trinatechtonersandprinters.co.ke/product?id=5556	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-2355-Black-Toner-Cartridge.webp	in stock	2500 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
5555	Brother TN-2405 Black Toner Cartridge	BROTHER TN-2405 BLACK TONER CARTRIDGE	https://trinatechtonersandprinters.co.ke/product?id=5555	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-2405-Black-Toner-Cartridge.webp	in stock	3500 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
5554	Brother TN-261 Toners CMYK Cartridges Each	BROTHER TN-261 TONERS CMYK CARTRIDGES EACH	https://trinatechtonersandprinters.co.ke/product?id=5554	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-261-Toners-CMYK-Cartridges-Each.webp	in stock	4000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
5553	Brother TN-273 Black Toner Cartridge	BROTHER TN-273 BLACK TONER CARTRIDGE	https://trinatechtonersandprinters.co.ke/product?id=5553	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-273-Black-Toner-Cartridge.webp	in stock	4000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
5552	Brother TN-273 Color Toner Cartridges Each	BROTHER TN-273 COLOR TONER CARTRIDGES EACH	https://trinatechtonersandprinters.co.ke/product?id=5552	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-273-Color-Toner-Cartridges-Each.webp	in stock	4000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
5551	Brother TN-277 Color Toner Cartridges Each	BROTHER TN-277 COLOR TONER CARTRIDGES EACH	https://trinatechtonersandprinters.co.ke/product?id=5551	https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-277-Color-Toner-Cartridges-Each.webp	in stock	4000 KES	Brother	new	Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Toner & Inkjet Cartridges	Brother Toners	no
